Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,TMB12A24,C96078
"C1, C10, C11, C2, C3, C4, C5, C6, C7",0402,9,0.1uF,C1525
"C8, C9",0402,2,8pF,C1578
D1,LED_D5.0mm,1,LED1,C87271
D2,LED_D5.0mm,1,LED2,C87271
D3,LED_D5.0mm,1,LED3,C87271
D4,0603,1,LED,C2286
J1,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,C132560
J3,BarrelJack_Horizontal,1,Barrel_Jack_MountingPin,C16214
J4,PinHeader_1x05_P2.54mm_Vertical,1,GPIO,
M1,PinHeader_1x02_P2.54mm_Vertical,1,Motor_DC,C2905434
"R1, R6",0402,2,27ohm,C25156
"R2, R4, R5, R7",0402,4,220ohm,C25091
"R3, R8",0402,2,5kohm,C5948099
"RV1, RV2",Potentiometer_Vishay_T73YP_Vertical,2,Pot,C6278770
"SW1, SW2, SW3",SW_Cherry_MX_1.00u_PCB,3,Button,
SW4,SW_Push_SPST_NO_Alps_SKRK,1,Reset,C115357
SW5,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,1,Controls,C92646
SW6,SW_Push_SPST_NO_Alps_SKRK,1,Boot,C115357
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOT-23-5,1,TLV71311PDBVR,C205964
U3,SOT-23-3,1,XC6206P332MR,C5148692
U4,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,C190862
U6,SOT-23-5,1,TPS76350,C194609
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,NX3225SA-12MHz,C481400
